序号,英文名称,节目名称,类型,声道,节目时长,年代,国家,看过人数,想看人数,在看人数,评分人数,豆瓣url,年代,原名,短评数量,评分,影评数量,豆瓣名称
121,50 FIRST DATES,初恋五十次,爱情,立体声,1:28:05,2004,美国,195922,22667,None,143998,http://movie.douban.com/subject/1309172/,2004,50 First Dates,30334,7.7,381,初恋50次
122,BEGINNERS,初学者,剧情,环绕声，多声道,1:38:59,2010,美国,17048,15689,None,13805,http://movie.douban.com/subject/4109909/,2010,Beginners,6057,7.6,94,初学者
123,The Lake House,触不到的恋人,奇幻,,2:00:00,2006,澳大利亚/美国,87198,19529,None,62693,http://movie.douban.com/subject/1474180/,2006,The Lake House,13055,7.5,442,触不到的恋人
124,Bringing Out the Dead,穿梭阴阳界,惊悚,,2:00:00,1999,美国,1833,994,None,1342,http://movie.douban.com/subject/1296738/,1999,Bringing Out the Dead,274,6.7,7,穿梭阴阳界
125,"Adventures of Baron Muchausen, The",吹牛大王历险记,喜剧,立体声,2:01:10,1943,美国,67,142,None,47,http://movie.douban.com/subject/1947828/,1943,Münchhausen,9,6.4,0,吹牛大王历险记
126,VERTICAL LIMIT,垂直极限,冒险,环绕声，多声道,1:59:20,2000,美国,21835,2310,None,16101,http://movie.douban.com/subject/1301166/,2000,Vertical Limit,2439,7.5,58,垂直极限
127,Hope Springs,春天的希望,喜剧,,2:00:00,2003,英国/美国,494,503,None,331,http://movie.douban.com/subject/1298823/,2003,Hope Springs,81,5.9,7,春天的希望
128,"AGE OF INNOCENCE, THE",纯真年代,剧情,立体声,2:18:19,1993,美国,28277,24563,None,20312,http://movie.douban.com/subject/1301465/,1993,The Age of Innocence,4746,8.1,241,纯真年代
129,The Treasure Hunter,刺陵,动作,立体声,1:46:00,2009,中国大陆,49736,3111,None,41372,http://movie.douban.com/subject/3305722/,2009,刺陵,12345,3.4,435,刺陵
130,VANTAGE POINT,刺杀据点,惊悚,立体声,1:26:00,2008,美国,18875,4477,None,15121,http://movie.douban.com/subject/2038379/,2008,Vantage Point,3466,7.2,133,刺杀据点
131,ASSASSINATION GAMES,刺杀游戏,动作,立体声,1:39:05,2011,美国,2093,585,None,1718,http://movie.douban.com/subject/3731662/,2011,Assassination Games,647,6.1,4,刺杀游戏
132,Hereafter,从今以后,奇幻,立体声,2:08:17,2010,美国,22117,16600,None,17988,http://movie.douban.com/subject/3025673/,2010,Hereafter,6202,7.1,148,从今以后
133,REIGN OVER ME,从心开始,剧情,立体声,2:02:59,2007,美国,14196,13757,None,10706,http://movie.douban.com/subject/1861935/,2007,Reign Over Me,2452,7.7,166,从心开始
134,OPEN SEASON (2006),丛林大反攻,动画,立体声,1:25:59,2006,美国,27043,2731,None,18772,http://movie.douban.com/subject/1428178/,2006,Open Season,1954,7,31,丛林大反攻
135,OPEN SEASON 3,丛林大反攻3,动画,立体声,1:14:24,2010,美国,3680,606,None,2854,http://movie.douban.com/subject/5152678/,2010,Open Season 3,569,6.2,4,丛林大反攻3
136,The Da Vinci Code,达芬奇密码,悬疑,环绕声，多声道,2:28:36,2006,美国,31,52,None,21,http://movie.douban.com/subject/20261402/,2006,The Da Vinci Load (2006),9,0,0,达芬奇密码成人版
137,JAWS,大白鲨,惊悚,立体声,1:58:47,1975,美国,45834,3896,None,30569,http://movie.douban.com/subject/1294941/,1975,Jaws,3428,7.6,30,大白鲨
138,Drillbit Taylor,大兵保镖,喜剧,,2:00:00,2008,美国,2627,263,None,2027,http://movie.douban.com/subject/2264023/,2008,Drillbit Taylor,313,5.7,11,大兵保镖
