序号,英文名称,节目名称,类型,声道,节目时长,年代,国家
295,EMPIRE,黑金帝国,罪案,环绕声，多声道,1:34:52,2002,美国
296,The Matrix,黑客帝国1,科幻,立体声,2:16:09,1999,美国
297,The Matrix Reloaded,黑客帝国2,科幻,立体声,2:18:07,2003,美国
298,The Matrix Revolutions,黑客帝国3,科幻,立体声,2:09:07,2003,美国
299,The Hit List,黑名单,动作,立体声,1:30:04,2011,美国
300,"FINAL CURTAIN, THE",黑幕风云,剧情,环绕声，多声道,1:17:04,2002,美国
301,NEW BEST FRIEND,黑色姐妹帮,悬疑,环绕声，多声道,1:22:13,2002,美国
302,UNDERWORLD EVOLUTION,黑夜传说2:进化,奇幻,环绕声，多声道,1:44:54,2006,美国
303,UNDERWORLD: RISE OF THE LYCANS.,黑夜传说3:狼族再起,奇幻,环绕声，多声道,1:32:17,2009,美国
304,UNDERWORLD AWAKENING,黑夜传说4,奇幻,环绕声，多声道,1:24:27,2012,美国
305,Men In Black II,黑衣人2,科幻,立体声,1:18:00,2002,美国
306,MEN IN BLACK 3,黑衣人3,科幻,环绕声，多声道,1:38:55,2012,美国
307,BLACK HAWK DOWN,黑鹰降落,战争,环绕声，多声道,2:12:55,2003,美国
308,Dark Shadows,黑影,奇幻,环绕声，多声道,1:52:59,2012,美国
309,Crimson Tide,红潮风暴,动作,,2:00:00,1995,美国
310,RED DRAGON,红龙,惊悚,立体声,1:56:58,2002,美国
311,Red Eye,红眼航班,惊悚,,2:00:00,2005,美国
312,The Scarlet Letter,红字,剧情,立体声,2:11:34,1995,美国
313,,虹猫蓝兔火凤凰,动画,立体声,1:28:25,2010,中国大陆
314,J. Edgar,胡佛,传记,立体声,1:56:20,2012,美国
315,Get Smart,糊涂侦探,罪案,,2:00:00,2008,美国
316,TWO BROTHERS,虎兄虎弟,剧情,环绕声，多声道,1:40:36,2004,英国
317,THE CHANGE-UP (2011),互换身体,喜剧,立体声,1:33:56,2011,美国
318,FUNNY PEOPLE,滑稽人物,喜剧,环绕声，多声道,2:19:51,2009,美国
319,BURLESQUE,滑稽戏,歌舞,立体声,1:56:36,2010,美国
320,BAD TEACHER,坏老师,爱情,立体声,1:28:00,2011,美国
321,WELCOME HOME ROSCOE JENKINS,欢迎回家，罗斯科·杰金斯,喜剧,环绕声，多声道,1:49:01,2008,美国
322,Pacific Rim,环太平洋,科幻,环绕声，多声道,2:11:01,2013,美国
323,Imagine That,幻想之地,喜剧,,2:00:00,2009,美国
